Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
Latvia,LVA,2006,0,0.04,0,0.05,2.7,0,0,2.1,0,0,0.04,0,0.05,2.7,0,0,2.1,0
Latvia,LVA,2007,0,0.04,0,0.05,2.73,0,0.02,1.92,0,0,0.04,0,0.05,2.73,0,0.02,1.92,0
Latvia,LVA,2008,0,0.04,0,0.06,3.11,0,0,2.06,0,0,0.04,0,0.06,3.11,0,0,2.06,0
Latvia,LVA,2009,0,0.05,0,0.05,3.46,0,0,2.01,0,0,0.05,0,0.05,3.46,0,0,2.01,0
Latvia,LVA,2010,0,0.07,0,0.05,3.52,0,0,2.99,0,0,0.07,0,0.05,3.52,0,0,2.99,0
Latvia,LVA,2011,0,0.12,0,0.07,2.89,0,0,3.01,0,0,0.12,0,0.07,2.89,0,0,3.01,0
Latvia,LVA,2012,0,0.29,0,0.11,3.71,0,0,2.06,0,0,0.29,0,0.11,3.71,0,0,2.06,0
Latvia,LVA,2013,0,0.5,0,0.12,2.91,0,0,2.67,0,0,0.5,0,0.12,2.91,0,0,2.67,0
Latvia,LVA,2014,0,0.67,0,0.14,1.99,0,0,2.34,0,0,0.67,0,0.14,1.99,0,0,2.34,0
Latvia,LVA,2015,0,0.77,0,0.15,1.86,0,0,2.76,0,0,0.77,0,0.15,1.86,0,0,2.76,0
Latvia,LVA,2016,0,0.82,0,0.13,2.53,0,0,2.94,0,0,0.82,0,0.13,2.53,0,0,2.94,0
Latvia,LVA,2017,0,0.93,0,0.15,4.38,0,0,2.07,0,0,0.93,0,0.15,4.38,0,0,2.07,0
Latvia,LVA,2018,0,0.94,0,0.12,2.43,0,0.01,3.22,0,0,0.94,0,0.12,2.43,0,0.01,3.22,0
Latvia,LVA,2019,0,0.93,0,0.15,2.11,0,0,3.25,0,0,0.93,0,0.15,2.11,0,0,3.25,0
Latvia,LVA,2020,0,0.86,0,0.18,2.6,0,0,2.08,0,0,0.86,0,0.18,2.6,0,0,2.08,0
Latvia,LVA,2021,0,0.86,0.01,0.14,2.71,0,0,2.13,0,0,0.86,0.01,0.14,2.71,0,0,2.13,0
Latvia,LVA,2022,0,0.8,0.08,0.19,2.75,0,0,1.21,0,0,0.8,0.08,0.19,2.75,0,0,1.21,0
Latvia,LVA,2023,0,0.66,0.24,0.26,3.79,0,0,1.42,0,0,0.66,0.24,0.26,3.79,0,0,1.42,0
Latvia,LVA,2024,0,0.78,0.51,0.27,3.24,0,0,1.66,0,0,0.78,0.51,0.27,3.24,0,0,1.66,0
Lithuania,LTU,1990,0,0,0,0,0.41,17.03,4.19,6.77,0,0,0,0,0,0.41,17.03,4.19,6.77,0
Lithuania,LTU,1991,0,0,0,0,0.34,17,5.74,6.29,0,0,0,0,0,0.34,17,5.74,6.29,0
Lithuania,LTU,1992,0,0,0,0,0.31,14.64,2.34,1.26,0,0,0,0,0,0.31,14.64,2.34,1.26,0
Lithuania,LTU,1993,0,0,0,0,0.39,12.26,1.02,0.26,0,0,0,0,0,0.39,12.26,1.02,0.26,0
Lithuania,LTU,1994,0,0,0,0,0.45,7.71,1.27,0.33,0,0,0,0,0,0.45,7.71,1.27,0.33,0
Lithuania,LTU,1995,0,0,0,0,0.37,11.82,1.1,0.23,0,0,0,0,0,0.37,11.82,1.1,0.23,0
Lithuania,LTU,1996,0,0,0,0,0.33,13.94,1.32,0.65,0,0,0,0,0,0.33,13.94,1.32,0.65,0
Lithuania,LTU,1997,0,0,0,0,0.3,12.02,1.58,0.49,0,0,0,0,0,0.3,12.02,1.58,0.49,0
Lithuania,LTU,1998,0,0,0,0,0.42,13.55,2.9,0.28,0,0,0,0,0,0.42,13.55,2.9,0.28,0
Lithuania,LTU,1999,0,0,0,0,0.41,9.86,1.81,1,0,0,0,0,0,0.41,9.86,1.81,1,0
Lithuania,LTU,2000,0,0,0,0,0.34,8.42,0.75,1.62,0,0,0,0,0,0.34,8.42,0.75,1.62,0
Lithuania,LTU,2001,0,0,0,0,0.33,11.36,0.79,1.88,0,0,0,0,0,0.33,11.36,0.79,1.88,0
Lithuania,LTU,2002,0,0,0,0,0.35,14.14,0.69,2.11,0,0,0,0,0,0.35,14.14,0.69,2.11,0
Lithuania,LTU,2003,0,0.01,0,0,0.32,15.48,0.49,2.52,0,0,0.01,0,0,0.32,15.48,0.49,2.52,0
Lithuania,LTU,2004,0,0.01,0,0,0.42,15.1,0.53,2.69,0,0,0.01,0,0,0.42,15.1,0.53,2.69,0
Lithuania,LTU,2005,0,0.01,0,0,0.45,10.34,0.6,3.02,0,0,0.01,0,0,0.45,10.34,0.6,3.02,0
Lithuania,LTU,2006,0,0.02,0,0.01,0.4,8.65,0.53,2.46,0,0,0.02,0,0.01,0.4,8.65,0.53,2.46,0
Lithuania,LTU,2007,0,0.05,0,0.11,0.42,9.83,0.65,2.4,0,0,0.05,0,0.11,0.42,9.83,0.65,2.4,0
Lithuania,LTU,2008,0,0.07,0,0.13,0.4,9.89,0.81,2.03,0,0,0.07,0,0.13,0.4,9.89,0.81,2.03,0
Lithuania,LTU,2009,0,0.1,0,0.16,0.42,10.85,1.01,2.1,0,0,0.1,0,0.16,0.42,10.85,1.01,2.1,0
Lithuania,LTU,2010,0,0.15,0,0.22,0.54,0,0.9,3.19,0,0,0.15,0,0.22,0.54,0,0.9,3.19,0
Lithuania,LTU,2011,0,0.16,0,0.47,0.48,0,0.47,2.67,0,0,0.16,0,0.47,0.48,0,0.47,2.67,0
Lithuania,LTU,2012,0,0.22,0,0.54,0.42,0,0.44,2.88,0,0,0.22,0,0.54,0.42,0,0.44,2.88,0
Lithuania,LTU,2013,0,0.36,0.05,0.6,0.52,0,0.44,2.22,0,0,0.36,0.05,0.6,0.52,0,0.44,2.22,0
Lithuania,LTU,2014,0,0.4,0.07,0.64,0.4,0,0.43,1.75,0,0,0.4,0.07,0.64,0.4,0,0.43,1.75,0
Lithuania,LTU,2015,0,0.45,0.07,0.81,0.35,0,0.57,1.98,0,0,0.45,0.07,0.81,0.35,0,0.57,1.98,0
Lithuania,LTU,2016,0,0.44,0.07,1.14,0.45,0,0.54,0.99,0,0,0.44,0.07,1.14,0.45,0,0.54,0.99,0
Lithuania,LTU,2017,0,0.5,0.07,1.36,0.6,0,0.43,0.6,0,0,0.5,0.07,1.36,0.6,0,0.43,0.6,0
Lithuania,LTU,2018,0,0.54,0.09,1.14,0.43,0,0.39,0.33,0,0,0.54,0.09,1.14,0.43,0,0.39,0.33,0
Lithuania,LTU,2019,0,0.53,0.09,1.5,0.35,0,0.35,0.52,0,0,0.53,0.09,1.5,0.35,0,0.35,0.52,0
Lithuania,LTU,2020,0,0.59,0.13,1.55,0.3,0,0.43,1.7,0,0,0.59,0.13,1.55,0.3,0,0.43,1.7,0
Lithuania,LTU,2021,0,0.69,0.19,1.36,0.38,0,0.46,1.22,0,0,0.69,0.19,1.36,0.38,0,0.46,1.22,0
Lithuania,LTU,2022,0,0.71,0.34,1.51,0.46,0,0.51,0.51,0,0,0.71,0.34,1.51,0.46,0,0.51,0.51,0
Lithuania,LTU,2023,0,0.76,0.69,2.45,0.45,0,0.28,0.58,0,0,0.76,0.69,2.45,0.45,0,0.28,0.58,0
Lithuania,LTU,2024,0,0.72,1.41,3.32,0.43,0,0.68,0.76,0,0,0.72,1.41,3.32,0.43,0,0.68,0.76,0
Luxembourg,LUX,1990,0,0.01,0,0,0.07,0,0.51,0.03,0,0,0.01,0,0,0.07,0,0.51,0.03,0
Luxembourg,LUX,1991,0,0.01,0,0,0.08,0,0.58,0.03,0,0,0.01,0,0,0.08,0,0.58,0.03,0
Luxembourg,LUX,1992,0,0.01,0,0,0.07,0,0.55,0.03,0,0,0.01,0,0,0.07,0,0.55,0.03,0
Luxembourg,LUX,1993,0,0.01,0,0,0.07,0,0.57,0.02,0,0,0.01,0,0,0.07,0,0.57,0.02,0
Luxembourg,LUX,1994,0,0.02,0,0,0.09,0,0.43,0.05,0,0,0.02,0,0,0.09,0,0.43,0.05,0
Luxembourg,LUX,1995,0,0.02,0,0,0.09,0,0.23,0.15,0,0,0.02,0,0,0.09,0,0.23,0.15,0
Luxembourg,LUX,1996,0,0.02,0,0,0.06,0,0.18,0.19,0,0,0.02,0,0,0.06,0,0.18,0.19,0
Luxembourg,LUX,1997,0,0.02,0,0,0.08,0,0.13,0.18,0,0,0.02,0,0,0.08,0,0.13,0.18,0
Luxembourg,LUX,1998,0,0.02,0,0.01,0.12,0,0.03,0.19,0,0,0.02,0,0.01,0.12,0,0.03,0.19,0
Luxembourg,LUX,1999,0,0.02,0,0.02,0.09,0,0.03,0.2,0,0,0.02,0,0.02,0.09,0,0.03,0.2,0
Luxembourg,LUX,2000,0,0.02,0,0.02,0.12,0,0.03,0.21,0,0,0.02,0,0.02,0.12,0,0.03,0.21,0
Luxembourg,LUX,2001,0,0.03,0,0.02,0.12,0,0.03,0.67,0,0,0.03,0,0.02,0.12,0,0.03,0.67,0
Luxembourg,LUX,2002,0,0.03,0,0.02,0.1,0,0.03,2.62,0,0,0.03,0,0.02,0.1,0,0.03,2.62,0
Luxembourg,LUX,2003,0,0.03,0,0.03,0.08,0,0.03,2.62,0,0,0.03,0,0.03,0.08,0,0.03,2.62,0
Luxembourg,LUX,2004,0,0.04,0.01,0.04,0.1,0,0.03,3.15,0,0,0.04,0.01,0.04,0.1,0,0.03,3.15,0
Luxembourg,LUX,2005,0,0.05,0.02,0.05,0.09,0,0.03,3.11,0,0,0.05,0.02,0.05,0.09,0,0.03,3.11,0
Luxembourg,LUX,2006,0,0.06,0.02,0.06,0.11,0,0.04,3.25,0,0,0.06,0.02,0.06,0.11,0,0.04,3.25,0
Luxembourg,LUX,2007,0,0.06,0.02,0.06,0.12,0,0.04,2.89,0,0,0.06,0.02,0.06,0.12,0,0.04,2.89,0
Luxembourg,LUX,2008,0,0.07,0.02,0.06,0.13,0,0.04,2.4,0,0,0.07,0.02,0.06,0.13,0,0.04,2.4,0
Luxembourg,LUX,2009,0,0.08,0.02,0.06,0.11,0,0.04,2.84,0,0,0.08,0.02,0.06,0.11,0,0.04,2.84,0
Luxembourg,LUX,2010,0,0.08,0.02,0.06,0.11,0,0.05,2.92,0,0,0.08,0.02,0.06,0.11,0,0.05,2.92,0
Luxembourg,LUX,2011,0,0.09,0.03,0.06,0.06,0,0.06,2.34,0,0,0.09,0.03,0.06,0.06,0,0.06,2.34,0
Luxembourg,LUX,2012,0,0.09,0.04,0.08,0.1,0,0.06,2.39,0,0,0.09,0.04,0.08,0.1,0,0.06,2.39,0
Luxembourg,LUX,2013,0,0.09,0.07,0.08,0.12,0,0.06,1.42,0,0,0.09,0.07,0.08,0.12,0,0.06,1.42,0
Luxembourg,LUX,2014,0,0.12,0.09,0.08,0.11,0,0.06,1.45,0,0,0.12,0.09,0.08,0.11,0,0.06,1.45,0
Luxembourg,LUX,2015,0,0.13,0.1,0.1,0.1,0,0.07,0.84,0,0,0.13,0.1,0.1,0.1,0,0.07,0.84,0
Luxembourg,LUX,2016,0,0.14,0.1,0.1,0.12,0,0.07,0.26,0,0,0.14,0.1,0.1,0.12,0,0.07,0.26,0
Luxembourg,LUX,2017,0,0.17,0.11,0.23,0.09,0,0.08,0.22,0,0,0.17,0.11,0.23,0.09,0,0.08,0.22,0
Luxembourg,LUX,2018,0,0.22,0.12,0.25,0.09,0,0.08,0.2,0,0,0.22,0.12,0.25,0.09,0,0.08,0.2,0
Luxembourg,LUX,2019,0,0.28,0.13,0.28,0.11,0,0.08,0.19,0,0,0.28,0.13,0.28,0.11,0,0.08,0.19,0
Luxembourg,LUX,2020,0,0.37,0.16,0.35,0.09,0,0.07,0.18,0,0,0.37,0.16,0.35,0.09,0,0.07,0.18,0
Luxembourg,LUX,2021,0,0.39,0.18,0.31,0.11,0,0.07,0.17,0,0,0.39,0.18,0.31,0.11,0,0.07,0.17,0
Luxembourg,LUX,2022,0,0.38,0.28,0.31,0.06,0,0.07,0.1,0,0,0.38,0.28,0.31,0.06,0,0.07,0.1,0
Luxembourg,LUX,2023,0,0.37,0.29,0.49,0.09,0,0.06,0.09,0,0,0.37,0.29,0.49,0.09,0,0.06,0.09,0
Luxembourg,LUX,2024,0,0.47,0.35,0.45,0.14,0,0.07,0.08,0,0,0.47,0.35,0.45,0.14,0,0.07,0.08,0
Netherlands,NLD,1985,0,0,0,0,0.003,3.899,3.258,38.213,14.833,0,0,0,0,0.003,3.899,3.258,38.213,14.833
Netherlands,NLD,1986,0,0,0,0.001,0.003,4.216,3.456,41.502,15.138,0,0,0,0.001,0.003,4.216,3.456,41.502,15.138
Netherlands,NLD,1987,0,0,0,0.002,0.001,3.556,3.659,41.292,16.948,0,0,0,0.002,0.001,3.556,3.659,41.292,16.948
Netherlands,NLD,1988,0,0,0,0.016,0.002,3.675,3.796,36.428,22.255,0,0,0,0.016,0.002,3.675,3.796,36.428,22.255
Netherlands,NLD,1989,0,0,0,0.023,0.037,4.019,3.307,39.93,22.156,0,0,0,0.023,0.037,4.019,3.307,39.93,22.156
Netherlands,NLD,1990,0,0.67,0,0.06,0.09,3.5,4.84,36.53,25.01,0,0.67,0,0.06,0.09,3.5,4.84,36.53,25.01
Netherlands,NLD,1991,0,0.74,0,0.09,0.1,3.33,5.29,41.01,22.66,0,0.74,0,0.09,0.1,3.33,5.29,41.01,22.66
Netherlands,NLD,1992,0,0.73,0,0.15,0.12,3.8,4.95,43.46,22.63,0,0.73,0,0.15,0.12,3.8,4.95,43.46,22.63
Netherlands,NLD,1993,0,0.84,0,0.17,0.09,3.95,5.3,44.12,21.41,0,0.84,0,0.17,0.09,3.95,5.3,44.12,21.41
Netherlands,NLD,1994,0,0.92,0,0.24,0.1,3.97,5.38,43.54,24.11,0,0.92,0,0.24,0.1,3.97,5.38,43.54,24.11
Netherlands,NLD,1995,0,1,0,0.32,0.09,4.02,4.94,42.01,27.4,0,1,0,0.32,0.09,4.02,4.94,42.01,27.4
Netherlands,NLD,1996,0,1.3,0,0.44,0.08,4.16,5.19,47.08,25.82,0,1.3,0,0.44,0.08,4.16,5.19,47.08,25.82
Netherlands,NLD,1997,0,1.45,0,0.47,0.09,2.41,5.58,50.66,24.44,0,1.45,0,0.47,0.09,2.41,5.58,50.66,24.44
Netherlands,NLD,1998,0,1.57,0,0.64,0.11,3.81,5.77,51.06,26.43,0,1.57,0,0.64,0.11,3.81,5.77,51.06,26.43
Netherlands,NLD,1999,0,1.77,0.01,0.64,0.09,3.83,5.75,51.15,21.92,0,1.77,0.01,0.64,0.09,3.83,5.75,51.15,21.92
Netherlands,NLD,2000,0,1.99,0.01,0.83,0.14,3.93,5.36,51.52,24.28,0,1.99,0.01,0.83,0.14,3.93,5.36,51.52,24.28
Netherlands,NLD,2001,0,2.35,0.01,0.83,0.12,3.98,5.6,53.77,25.48,0,2.35,0.01,0.83,0.12,3.98,5.6,53.77,25.48
Netherlands,NLD,2002,0,2.9,0.02,0.95,0.11,3.91,5.48,55.28,25.99,0,2.9,0.02,0.95,0.11,3.91,5.48,55.28,25.99
Netherlands,NLD,2003,0,2.54,0.03,1.32,0.07,4.02,5.9,55.02,26.57,0,2.54,0.03,1.32,0.07,4.02,5.9,55.02,26.57
Netherlands,NLD,2004,0,3.31,0.03,1.87,0.09,3.82,5.76,59.99,24.95,0,3.31,0.03,1.87,0.09,3.82,5.76,59.99,24.95
Netherlands,NLD,2005,0,5.26,0.04,2.07,0.09,4,5.97,57.6,23.5,0,5.26,0.04,2.07,0.09,4,5.97,57.6,23.5
Netherlands,NLD,2006,0,5.17,0.04,2.74,0.11,3.47,5.11,57.14,23.74,0,5.17,0.04,2.74,0.11,3.47,5.11,57.14,23.74
Netherlands,NLD,2007,0,4,0.04,3.44,0.11,4.2,5.96,61.01,24.92,0,4,0.04,3.44,0.11,4.2,5.96,61.01,24.92
Netherlands,NLD,2008,0,5.13,0.04,4.26,0.1,4.17,5.67,63.36,23.48,0,5.13,0.04,4.26,0.1,4.17,5.67,63.36,23.48
Netherlands,NLD,2009,0,6.11,0.04,4.58,0.1,4.25,4.12,68.87,24.28,0,6.11,0.04,4.58,0.1,4.25,4.12,68.87,24.28
Netherlands,NLD,2010,0,7.04,0.06,3.99,0.1,3.97,5.02,75.33,22.59,0,7.04,0.06,3.99,0.1,3.97,5.02,75.33,22.59
Netherlands,NLD,2011,0,7.06,0.1,5.1,0.06,4.14,5.32,69.47,21.39,0,7.06,0.1,5.1,0.06,4.14,5.32,69.47,21.39
Netherlands,NLD,2012,0,7.2,0.19,4.98,0.1,3.91,5.12,56.56,24.21,0,7.2,0.19,4.98,0.1,3.91,5.12,56.56,24.21
Netherlands,NLD,2013,0,5.95,0.41,5.63,0.11,2.89,4.89,56.07,24.61,0,5.95,0.41,5.63,0.11,2.89,4.89,56.07,24.61
Netherlands,NLD,2014,0,5.01,0.73,5.8,0.11,4.09,5.35,51.52,29.49,0,5.01,0.73,5.8,0.11,4.09,5.35,51.52,29.49
Netherlands,NLD,2015,0,4.94,1.11,7.55,0.09,4.08,6.02,45.81,39.39,0,4.94,1.11,7.55,0.09,4.08,6.02,45.81,39.39
Netherlands,NLD,2016,0,4.91,1.6,8.17,0.1,3.96,5.87,52.53,36.82,0,4.91,1.6,8.17,0.1,3.96,5.87,52.53,36.82
Netherlands,NLD,2017,0,4.6,2.2,10.57,0.06,3.4,6.1,57.73,31.38,0,4.6,2.2,10.57,0.06,3.4,6.1,57.73,31.38
Netherlands,NLD,2018,0,4.55,3.71,10.55,0.07,3.51,5.5,57.63,27.58,0,4.55,3.71,10.55,0.07,3.51,5.5,57.63,27.58
Netherlands,NLD,2019,0,5.82,5.4,11.51,0.07,3.91,4.93,70.72,17.69,0,5.82,5.4,11.51,0.07,3.91,4.93,70.72,17.69
Netherlands,NLD,2020,0,8.84,8.57,15.27,0.05,4.09,5,72.52,7.62,0,8.84,8.57,15.27,0.05,4.09,5,72.52,7.62
Netherlands,NLD,2021,0,10.92,11.3,18.04,0.09,3.83,5.33,56.69,14.6,0,10.92,11.3,18.04,0.09,3.83,5.33,56.69,14.6
Netherlands,NLD,2022,0,9.82,16.66,21.4,0.05,4.16,5.16,47.74,14.8,0,9.82,16.66,21.4,0.05,4.16,5.16,47.74,14.8
Netherlands,NLD,2023,0,7.61,19.58,29.27,0.07,3.99,4.33,45.95,8.71,0,7.61,19.58,29.27,0.07,3.99,4.33,45.95,8.71
Netherlands,NLD,2024,0.04,7.26,21.65,33.04,0.1,3.6,4.4,44.03,8.18,0.04,7.26,21.65,33.04,0.1,3.6,4.4,44.03,8.18
Norway,NOR,1990,0,0.21,0,0,121.14,0,0.21,0,0.04,0,0.21,0,0,121.14,0,0.21,0,0.04
Norway,NOR,1991,0,0.21,0,0,110.13,0,0.17,0,0.05,0,0.21,0,0,110.13,0,0.17,0,0.05
Norway,NOR,1992,0,0.23,0,0,116.67,0,0.16,0,0.05,0,0.23,0,0,116.67,0,0.16,0,0.05
Norway,NOR,1993,0,0.24,0,0.01,119.23,0,0.18,0.01,0.05,0,0.24,0,0.01,119.23,0,0.18,0.01,0.05
Norway,NOR,1994,0,0.27,0,0.01,111.64,0,0.19,0.15,0.06,0,0.27,0,0.01,111.64,0,0.19,0.15,0.06
Norway,NOR,1995,0,0.29,0,0.01,121.53,0,0.17,0.19,0.06,0,0.29,0,0.01,121.53,0,0.17,0.19,0.06
Norway,NOR,1996,0,0.3,0,0.01,103.86,0,0.19,0.28,0.05,0,0.3,0,0.01,103.86,0,0.19,0.28,0.05
Norway,NOR,1997,0,0.24,0,0.01,109.78,0,0.19,0.24,0.04,0,0.24,0,0.01,109.78,0,0.19,0.24,0.04
Norway,NOR,1998,0,0.27,0,0.01,115.7,0,0.18,0.22,0.04,0,0.27,0,0.01,115.7,0,0.18,0.22,0.04
Norway,NOR,1999,0,0.27,0,0.03,121.45,0,0.22,0.28,0.04,0,0.27,0,0.03,121.45,0,0.22,0.28,0.04
Norway,NOR,2000,0,0.26,0,0.03,141.82,0,0.16,0.21,0.04,0,0.26,0,0.03,141.82,0,0.16,0.21,0.04
Norway,NOR,2001,0,0.25,0,0.03,120.46,0,0.3,0.24,0.04,0,0.25,0,0.03,120.46,0,0.3,0.24,0.04
Norway,NOR,2002,0,0.25,0,0.08,129.37,0,0.3,0.2,0.04,0,0.25,0,0.08,129.37,0,0.3,0.2,0.04
Norway,NOR,2003,0,0.33,0,0.22,105.48,0,0.3,0.3,0.04,0,0.33,0,0.22,105.48,0,0.3,0.3,0.04
Norway,NOR,2004,0,0.36,0,0.25,108.78,0,0.3,0.37,0.04,0,0.36,0,0.25,108.78,0,0.3,0.37,0.04
Norway,NOR,2005,0,0.33,0,0.5,135.69,0,0.31,0.38,0.04,0,0.33,0,0.5,135.69,0,0.31,0.38,0.04
Norway,NOR,2006,0,0.39,0,0.64,119.37,0,0.31,0.47,0.04,0,0.39,0,0.64,119.37,0,0.31,0.47,0.04
Norway,NOR,2007,0,0.39,0,0.89,133.66,0,0.37,0.76,0.04,0,0.39,0,0.89,133.66,0,0.37,0.76,0.04
Norway,NOR,2008,0,0.4,0,0.91,139.04,0,0.36,0.44,0.04,0,0.4,0,0.91,139.04,0,0.36,0.44,0.04
Norway,NOR,2009,0,0.23,0,0.97,125.28,0,0.22,4.23,0.04,0,0.23,0,0.97,125.28,0,0.22,4.23,0.04
Norway,NOR,2010,0,0.35,0,0.87,116.74,0,0.34,4.8,0.04,0,0.35,0,0.87,116.74,0,0.34,4.8,0.04
Norway,NOR,2011,0,0.34,0,1.29,120.28,0,0.27,3.71,0.04,0,0.34,0,1.29,120.28,0,0.27,3.71,0.04
Norway,NOR,2012,0,0.33,0,1.54,141.72,0,0.31,2.24,0.04,0,0.33,0,1.54,141.72,0,0.31,2.24,0.04
Norway,NOR,2013,0,0.4,0,1.88,128.14,0,0.61,2.07,0.04,0,0.4,0,1.88,128.14,0,0.61,2.07,0.04
Norway,NOR,2014,0,0.25,0,2.22,135.47,0,0.68,2.22,0.04,0,0.25,0,2.22,135.47,0,0.68,2.22,0.04
Norway,NOR,2015,0,0.25,0,2.52,137.3,0,0.69,2.2,0.04,0,0.25,0,2.52,137.3,0,0.69,2.2,0.04
Norway,NOR,2016,0,0.23,0,2.11,142.81,0,0.63,2.21,0.04,0,0.23,0,2.11,142.81,0,0.63,2.21,0.04
Norway,NOR,2017,0,0.26,0,2.85,142.37,0,0.69,2.06,0.04,0,0.26,0,2.85,142.37,0,0.69,2.06,0.04
Norway,NOR,2018,0,0.2,0,3.87,138.98,0,0.67,2.18,0.04,0,0.2,0,3.87,138.98,0,0.67,2.18,0.04
Norway,NOR,2019,0,0.25,0.01,5.52,125.29,0,0.66,2.06,0.04,0,0.25,0.01,5.52,125.29,0,0.66,2.06,0.04
Norway,NOR,2020,0,0.24,0.08,9.91,141.8,0,0.64,1.61,0.04,0,0.24,0.08,9.91,141.8,0,0.64,1.61,0.04
Norway,NOR,2021,0,0.22,0.11,11.76,143.97,0,0.72,0.31,0.04,0,0.22,0.11,11.76,143.97,0,0.72,0.31,0.04
Norway,NOR,2022,0,0.24,0.17,14.8,128.24,0,0.78,1.15,0.04,0,0.24,0.17,14.8,128.24,0,0.78,1.15,0.04
Norway,NOR,2023,0,0.25,0.36,13.86,136.71,0,0.79,1.53,0.03,0,0.25,0.36,13.86,136.71,0,0.79,1.53,0.03
Norway,NOR,2024,0,0.25,0.36,14.5,138.5,0,0.78,1.7,0.03,0,0.25,0.36,14.5,138.5,0,0.78,1.7,0.03
Poland,POL,1985,0,0,0,0,1.852,0,1.68,0.081,131.52095,0,0,0,0,1.852,0,1.68,0.081,131.52095
Poland,POL,1986,0,0,0,0,1.549,0,1.622,0.063,134.28099,0,0,0,0,1.549,0,1.622,0.063,134.28099
Poland,POL,1987,0,0,0,0,1.661,0,1.698,0.165,139.58713,0,0,0,0,1.661,0,1.698,0.165,139.58713
Poland,POL,1988,0,0,0,0,1.793,0,1.626,0.097,138.20956,0,0,0,0,1.793,0,1.626,0.097,138.20956
Poland,POL,1989,0,0,0,0,1.609,0,1.691,0.115,139.66751,0,0,0,0,1.609,0,1.691,0.115,139.66751
Poland,POL,1990,0,0.05,0,0,1.44,0,2.45,0.13,130.36,0,0.05,0,0,1.44,0,2.45,0.13,130.36
Poland,POL,1991,0,0.08,0,0,1.42,0,2.36,0.11,128.75,0,0.08,0,0,1.42,0,2.36,0.11,128.75
Poland,POL,1992,0,0.11,0,0,1.51,0,2.38,0.1,126.58,0,0.11,0,0,1.51,0,2.38,0.1,126.58
Poland,POL,1993,0,0.06,0,0,1.49,0,2.46,0.1,127.67,0,0.06,0,0,1.49,0,2.46,0.1,127.67
Poland,POL,1994,0,0.05,0,0,1.73,0,2.97,0.15,128.39,0,0.05,0,0,1.73,0,2.97,0.15,128.39
