Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
Poland,POL,1995,0,0.07,0,0,1.89,0,3.06,0.26,131.77,0,0.07,0,0,1.89,0,3.06,0.26,131.77
Poland,POL,1996,0,0.13,0,0,1.93,0,3.33,0.32,135.48,0,0.13,0,0,1.93,0,3.33,0.32,135.48
Poland,POL,1997,0,0.17,0,0,1.96,0,3.85,0.22,134.74,0,0.17,0,0,1.96,0,3.85,0.22,134.74
Poland,POL,1998,0,0.22,0,0,2.31,0,3.7,0.31,134.23,0,0.22,0,0,2.31,0,3.7,0.31,134.23
Poland,POL,1999,0,0.19,0,0,2.15,0,3.7,0.62,133.33,0,0.19,0,0,2.15,0,3.7,0.62,133.33
Poland,POL,2000,0,0.22,0,0,2.11,0,4.03,0.93,135.89,0,0.22,0,0,2.11,0,4.03,0.93,135.89
Poland,POL,2001,0,0.44,0,0.01,2.33,0,4.61,1.36,134.97,0,0.44,0,0.01,2.33,0,4.61,1.36,134.97
Poland,POL,2002,0,0.43,0,0.06,2.28,0,4.58,2.2,132.94,0,0.43,0,0.06,2.28,0,4.58,2.2,132.94
Poland,POL,2003,0,0.46,0,0.12,1.67,0,4.68,2.42,140.66,0,0.46,0,0.12,1.67,0,4.68,2.42,140.66
Poland,POL,2004,0,0.98,0,0.14,2.08,0,5,3.22,141.12,0,0.98,0,0.14,2.08,0,5,3.22,141.12
Poland,POL,2005,0,1.51,0,0.14,2.2,0,4.4,5.16,141.88,0,1.51,0,0.14,2.2,0,4.4,5.16,141.88
Poland,POL,2006,0,1.99,0,0.26,2.04,0,4.82,4.58,147.01,0,1.99,0,0.26,2.04,0,4.82,4.58,147.01
Poland,POL,2007,0,2.56,0,0.52,2.35,0,4.6,4.48,144.01,0,2.56,0,0.52,2.35,0,4.6,4.48,144.01
Poland,POL,2008,0,3.62,0,0.84,2.15,0,4.32,4.68,138.89,0,3.62,0,0.84,2.15,0,4.32,4.68,138.89
Poland,POL,2009,0,5.23,0,1.08,2.38,0,4,4.79,133.38,0,5.23,0,1.08,2.38,0,4,4.79,133.38
Poland,POL,2010,0,6.3,0,1.66,2.92,0,4.58,4.8,136.51,0,6.3,0,1.66,2.92,0,4.58,4.8,136.51
Poland,POL,2011,0,7.6,0,3.2,2.33,0,4.16,5.82,139.76,0,7.6,0,3.2,2.33,0,4.16,5.82,139.76
Poland,POL,2012,0,10.09,0,4.75,2.04,0,3.77,6.26,134.57,0,10.09,0,4.75,2.04,0,3.77,6.26,134.57
Poland,POL,2013,0,8.62,0,6,2.44,0,3.73,5.27,137.72,0,8.62,0,6,2.44,0,3.73,5.27,137.72
Poland,POL,2014,0,9.98,0.01,7.68,2.18,0,3.65,5.33,129.52,0,9.98,0.01,7.68,2.18,0,3.65,5.33,129.52
Poland,POL,2015,0,9.94,0.06,10.86,1.83,0,4.7,6.39,130.52,0,9.94,0.06,10.86,1.83,0,4.7,6.39,130.52
Poland,POL,2016,0,7.96,0.12,12.59,2.14,0,5.04,7.83,130.32,0,7.96,0.12,12.59,2.14,0,5.04,7.83,130.32
Poland,POL,2017,0,6.49,0.17,14.91,2.56,0,4.59,10.03,131.16,0,6.49,0.17,14.91,2.56,0,4.59,10.03,131.16
Poland,POL,2018,0,6.55,0.3,12.8,1.97,0,4.62,12.63,130.56,0,6.55,0.3,12.8,1.97,0,4.62,12.63,130.56
Poland,POL,2019,0,7.68,0.71,15.11,1.96,0,4.82,14.8,118.14,0,7.68,0.71,15.11,1.96,0,4.82,14.8,118.14
Poland,POL,2020,0,8.35,1.96,15.8,2.12,0,4.23,17.29,107.4,0,8.35,1.96,15.8,2.12,0,4.23,17.29,107.4
Poland,POL,2021,0,8.06,3.93,16.23,2.34,0,4.84,15.82,127.57,0,8.06,3.93,16.23,2.34,0,4.84,15.82,127.57
Poland,POL,2022,0,7.63,8.31,19.78,1.97,0,4.82,11.36,124.73,0,7.63,8.31,19.78,1.97,0,4.82,11.36,124.73
Poland,POL,2023,0,8.16,11.11,23.11,2.41,0,4.32,16.49,98.85,0,8.16,11.11,23.11,2.41,0,4.32,16.49,98.85
Poland,POL,2024,0,8.39,15.23,24.84,2.34,0,7.82,20.52,91.06,0,8.39,15.23,24.84,2.34,0,7.82,20.52,91.06
Portugal,PRT,1990,0,0.69,0,0,9.14,0,9.44,0,9.06,0,0.69,0,0,9.14,0,9.44,0,9.06
Portugal,PRT,1991,0,0.81,0,0,9.03,0,10.13,0,9.75,0,0.81,0,0,9.03,0,10.13,0,9.75
Portugal,PRT,1992,0,0.88,0,0,4.61,0,13.82,0,10.17,0,0.88,0,0,4.61,0,13.82,0,10.17
Portugal,PRT,1993,0,0.9,0,0.01,8.52,0,10.03,0,11.38,0,0.9,0,0.01,8.52,0,10.03,0,11.38
Portugal,PRT,1994,0.03,0.93,0,0.02,10.65,0,7.92,0,11.57,0.03,0.93,0,0.02,10.65,0,7.92,0,11.57
Portugal,PRT,1995,0.04,0.99,0,0.02,8.33,0,10.12,0,13.41,0.04,0.99,0,0.02,8.33,0,10.12,0,13.41
Portugal,PRT,1996,0.05,0.96,0,0.02,14.75,0,5.87,0,12.55,0.05,0.96,0,0.02,14.75,0,5.87,0,12.55
Portugal,PRT,1997,0.05,1.04,0,0.04,13.1,0,6.61,0.09,12.96,0.05,1.04,0,0.04,13.1,0,6.61,0.09,12.96
Portugal,PRT,1998,0.06,1.02,0,0.09,12.98,0,10.6,2.02,11.98,0.06,1.02,0,0.09,12.98,0,10.6,2.02,11.98
Portugal,PRT,1999,0.08,1.16,0,0.12,7.26,0,11,8.07,15.05,0.08,1.16,0,0.12,7.26,0,11,8.07,15.05
Portugal,PRT,2000,0.08,1.3,0,0.17,11.32,0,8.6,7.14,14.6,0.08,1.3,0,0.17,11.32,0,8.6,7.14,14.6
Portugal,PRT,2001,0.1,1.35,0,0.26,14.03,0,9.5,7.21,13.61,0.1,1.35,0,0.26,14.03,0,9.5,7.21,13.61
Portugal,PRT,2002,0.1,1.47,0,0.36,7.8,0,11.57,9.04,15.21,0.1,1.47,0,0.36,7.8,0,11.57,9.04,15.21
Portugal,PRT,2003,0.09,1.39,0,0.5,15.72,0,6.42,7.74,14.53,0.09,1.39,0,0.5,15.72,0,6.42,7.74,14.53
Portugal,PRT,2004,0.08,1.54,0,0.82,9.87,0,5.82,11.69,14.86,0.08,1.54,0,0.82,9.87,0,5.82,11.69,14.86
Portugal,PRT,2005,0.07,1.68,0,1.77,4.73,0,8.92,13.61,15.23,0.07,1.68,0,1.77,4.73,0,8.92,13.61,15.23
Portugal,PRT,2006,0.09,1.7,0,2.93,11,0,5.38,12.34,14.96,0.09,1.7,0,2.93,11,0,5.38,12.34,14.96
Portugal,PRT,2007,0.2,1.86,0.02,4.04,10.09,0,4.98,13.12,12.4,0.2,1.86,0.02,4.04,10.09,0,4.98,13.12,12.4
Portugal,PRT,2008,0.19,1.85,0.04,5.76,6.8,0,4.3,15.2,11.2,0.19,1.85,0.04,5.76,6.8,0,4.3,15.2,11.2
Portugal,PRT,2009,0.18,2.09,0.16,7.58,8.28,0,3.48,14.71,12.9,0.18,2.09,0.16,7.58,8.28,0,3.48,14.71,12.9
Portugal,PRT,2010,0.2,2.61,0.21,9.18,16.15,0,3.13,14.9,7.1,0.2,2.61,0.21,9.18,16.15,0,3.13,14.9,7.1
Portugal,PRT,2011,0.21,2.92,0.28,9.16,11.54,0,2.9,14.92,9.85,0.21,2.92,0.28,9.16,11.54,0,2.9,14.92,9.85
Portugal,PRT,2012,0.15,2.95,0.39,10.26,5.62,0,2.31,10.67,13.09,0.15,2.95,0.39,10.26,5.62,0,2.31,10.67,13.09
Portugal,PRT,2013,0.2,3.05,0.48,12.01,13.73,0,1.81,7.23,11.84,0.2,3.05,0.48,12.01,13.73,0,1.81,7.23,11.84
Portugal,PRT,2014,0.21,3.05,0.63,12.11,15.57,0,1.45,6.83,11.95,0.21,3.05,0.63,12.11,15.57,0,1.45,6.83,11.95
Portugal,PRT,2015,0.2,3.1,0.8,11.6,8.66,0,1.49,10.56,14.73,0.2,3.1,0.8,11.6,8.66,0,1.49,10.56,14.73
Portugal,PRT,2016,0.17,3.07,0.87,12.47,15.72,0,1.54,12.58,12.63,0.17,3.07,0.87,12.47,15.72,0,1.54,12.58,12.63
Portugal,PRT,2017,0.22,3.22,0.99,12.25,5.9,0,1.45,18.89,14.67,0.22,3.22,0.99,12.25,5.9,0,1.45,18.89,14.67
Portugal,PRT,2018,0.23,3.16,1.01,12.62,12.39,0,1.32,15.61,12.01,0.23,3.16,1.01,12.62,12.39,0,1.32,15.61,12.01
Portugal,PRT,2019,0.22,3.36,1.34,13.67,8.82,0,1.4,17.26,5.53,0.22,3.36,1.34,13.67,8.82,0,1.4,17.26,5.53
Portugal,PRT,2020,0.22,3.79,1.72,12.3,12.08,0,1.32,17.6,2.36,0.22,3.79,1.72,12.3,12.08,0,1.32,17.6,2.36
Portugal,PRT,2021,0.18,4,2.24,13.21,11.91,0,1.31,15.57,0.8,0.18,4,2.24,13.21,11.91,0,1.31,15.57,0.8
Portugal,PRT,2022,0.19,4.11,3.52,13.25,6.54,0,1.33,17.39,0,0.19,4.11,3.52,13.25,6.54,0,1.33,17.39,0
Portugal,PRT,2023,0.21,3.8,5.16,13.2,12.04,0,1.36,10.42,0,0.21,3.8,5.16,13.2,12.04,0,1.36,10.42,0
Portugal,PRT,2024,0.21,3.97,6.72,14.38,14.17,0,1.41,5.45,0,0.21,3.97,6.72,14.38,14.17,0,1.41,5.45,0
Slovakia,SVK,1990,0,0,0,0,1.88,12.04,2.25,1.82,7.5,0,0,0,0,1.88,12.04,2.25,1.82,7.5
Slovakia,SVK,1991,0,0,0,0,1.41,11.69,3.09,2.12,5.95,0,0,0,0,1.41,11.69,3.09,2.12,5.95
Slovakia,SVK,1992,0,0,0,0,1.94,11.05,2.15,0.87,7.23,0,0,0,0,1.94,11.05,2.15,0.87,7.23
Slovakia,SVK,1993,0,0,0,0,3.47,11.49,2.16,1.18,5.75,0,0,0,0,3.47,11.49,2.16,1.18,5.75
Slovakia,SVK,1994,0,0,0,0,4.36,12.6,1.46,2.19,4.86,0,0,0,0,4.36,12.6,1.46,2.19,4.86
Slovakia,SVK,1995,0,0,0,0,4.88,11.44,1.28,2.38,6.45,0,0,0,0,4.88,11.44,1.28,2.38,6.45
Slovakia,SVK,1996,0,0,0,0,4.23,11.25,1.75,2.34,5.89,0,0,0,0,4.23,11.25,1.75,2.34,5.89
Slovakia,SVK,1997,0,0,0,0,4.06,11.07,1.29,2.33,6.29,0,0,0,0,4.06,11.07,1.29,2.33,6.29
Slovakia,SVK,1998,0,0,0,0,4.27,11.39,1.86,2.35,5.86,0,0,0,0,4.27,11.39,1.86,2.35,5.86
Slovakia,SVK,1999,0,0,0,0,4.47,13.12,1.09,3.05,6.38,0,0,0,0,4.47,13.12,1.09,3.05,6.38
Slovakia,SVK,2000,0,0,0,0,4.61,16.49,0.76,3.34,5.58,0,0,0,0,4.61,16.49,0.76,3.34,5.58
Slovakia,SVK,2001,0,0.15,0,0,4.93,17.1,1.12,2.7,5.82,0,0.15,0,0,4.93,17.1,1.12,2.7,5.82
Slovakia,SVK,2002,0,0.15,0,0,5.27,17.95,1.15,2.51,5.15,0,0.15,0,0,5.27,17.95,1.15,2.51,5.15
Slovakia,SVK,2003,0,0.1,0,0,3.48,17.86,1.18,2.4,5.96,0,0.1,0,0,3.48,17.86,1.18,2.4,5.96
Slovakia,SVK,2004,0,0.02,0,0.01,4.1,17.03,1.2,2.42,5.68,0,0.02,0,0.01,4.1,17.03,1.2,2.42,5.68
Slovakia,SVK,2005,0,0.03,0,0.01,4.64,17.73,1.21,2.18,5.54,0,0.03,0,0.01,4.64,17.73,1.21,2.18,5.54
Slovakia,SVK,2006,0,0.4,0,0.01,4.4,18.01,1.21,1.91,5.31,0,0.4,0,0.01,4.4,18.01,1.21,1.91,5.31
Slovakia,SVK,2007,0,0.47,0,0.01,4.45,15.33,1.17,1.62,4.8,0,0.47,0,0.01,4.45,15.33,1.17,1.62,4.8
Slovakia,SVK,2008,0,0.52,0,0.01,4.04,16.7,1.15,1.61,4.67,0,0.52,0,0.01,4.04,16.7,1.15,1.61,4.67
Slovakia,SVK,2009,0,0.54,0,0.01,4.37,14.08,1.1,1.97,3.86,0,0.54,0,0.01,4.37,14.08,1.1,1.97,3.86
Slovakia,SVK,2010,0,0.66,0.02,0.01,5.26,14.57,1.17,2.21,3.56,0,0.66,0.02,0.01,5.26,14.57,1.17,2.21,3.56
Slovakia,SVK,2011,0,0.82,0.4,0,3.78,15.41,1.17,3.15,3.55,0,0.82,0.4,0,3.78,15.41,1.17,3.15,3.55
Slovakia,SVK,2012,0,0.94,0.42,0.01,4.1,15.49,1.08,2.85,3.41,0,0.94,0.42,0.01,4.1,15.49,1.08,2.85,3.41
Slovakia,SVK,2013,0,0.91,0.59,0.01,4.85,15.72,0.96,2.39,3.07,0,0.91,0.59,0.01,4.85,15.72,0.96,2.39,3.07
Slovakia,SVK,2014,0,1.42,0.6,0.01,4.21,15.5,0.9,1.62,2.87,0,1.42,0.6,0.01,4.21,15.5,0.9,1.62,2.87
Slovakia,SVK,2015,0,1.66,0.51,0.01,3.87,15.15,0.99,1.6,2.83,0,1.66,0.51,0.01,3.87,15.15,0.99,1.6,2.83
Slovakia,SVK,2016,0,1.73,0.53,0.01,4.36,14.77,1.08,1.52,2.8,0,1.73,0.53,0.01,4.36,14.77,1.08,1.52,2.8
Slovakia,SVK,2017,0,1.7,0.51,0.01,4.32,15.08,1.14,1.67,2.99,0,1.7,0.51,0.01,4.32,15.08,1.14,1.67,2.99
Slovakia,SVK,2018,0,1.63,0.58,0.01,3.59,14.84,1.14,1.86,3.01,0,1.63,0.58,0.01,3.59,14.84,1.14,1.86,3.01
Slovakia,SVK,2019,0,1.69,0.59,0.01,4.36,15.28,0.87,3.07,2.34,0,1.69,0.59,0.01,4.36,15.28,0.87,3.07,2.34
Slovakia,SVK,2020,0,1.67,0.66,0,4.52,15.44,0.79,3.57,1.86,0,1.67,0.66,0,4.52,15.44,0.79,3.57,1.86
Slovakia,SVK,2021,0,1.84,0.67,0,4.26,15.73,1.13,4.37,1.7,0,1.84,0.67,0,4.26,15.73,1.13,4.37,1.7
Slovakia,SVK,2022,0,1.49,0.65,0,3.68,15.92,1.08,2.1,1.62,0,1.49,0.65,0,3.68,15.92,1.08,2.1,1.62
Slovakia,SVK,2023,0,1.41,0.61,0,4.69,18.33,0.99,2.28,1.22,0,1.41,0.61,0,4.69,18.33,0.99,2.28,1.22
Slovakia,SVK,2024,0.05,1.49,0.68,0,4.81,18.2,0.88,2.69,0.53,0.05,1.49,0.68,0,4.81,18.2,0.88,2.69,0.53
Slovenia,SVN,1990,0,0,0,0,2.95,4.62,0.98,0,3.89,0,0,0,0,2.95,4.62,0.98,0,3.89
Slovenia,SVN,1991,0,0,0,0,3.61,4.95,0.56,0,3.62,0,0,0,0,3.61,4.95,0.56,0,3.62
Slovenia,SVN,1992,0,0,0,0,3.42,3.97,0.31,0,4.64,0,0,0,0,3.42,3.97,0.31,0,4.64
Slovenia,SVN,1993,0,0,0,0,3.04,3.96,0.26,0,4.69,0,0,0,0,3.04,3.96,0.26,0,4.69
Slovenia,SVN,1994,0,0,0,0,3.4,4.61,0.27,0,4.61,0,0,0,0,3.4,4.61,0.27,0,4.61
Slovenia,SVN,1995,0,0,0,0,3.25,4.78,0.26,0.01,4.6,0,0,0,0,3.25,4.78,0.26,0.01,4.6
Slovenia,SVN,1996,0,0,0,0,3.67,4.65,0.26,0.01,4.46,0,0,0,0,3.67,4.65,0.26,0.01,4.46
Slovenia,SVN,1997,0,0,0,0,3.09,5.02,0.35,0.01,4.71,0,0,0,0,3.09,5.02,0.35,0.01,4.71
Slovenia,SVN,1998,0,0,0,0,3.45,5.04,0.14,0.11,4.98,0,0,0,0,3.45,5.04,0.14,0.11,4.98
Slovenia,SVN,1999,0,0.03,0,0,3.74,4.7,0.14,0.17,4.48,0,0.03,0,0,3.74,4.7,0.14,0.17,4.48
Slovenia,SVN,2000,0,0.07,0,0,3.83,4.76,0.05,0.29,4.61,0,0.07,0,0,3.83,4.76,0.05,0.29,4.61
Slovenia,SVN,2001,0,0.07,0,0,3.8,5.26,0.13,0.3,4.92,0,0.07,0,0,3.8,5.26,0.13,0.3,4.92
Slovenia,SVN,2002,0,0.1,0,0,3.31,5.53,0.07,0.29,5.3,0,0.1,0,0,3.31,5.53,0.07,0.29,5.3
Slovenia,SVN,2003,0,0.12,0,0,2.96,5.21,0.06,0.37,5.11,0,0.12,0,0,2.96,5.21,0.06,0.37,5.11
Slovenia,SVN,2004,0,0.12,0,0,4.09,5.46,0.05,0.36,5.19,0,0.12,0,0,4.09,5.46,0.05,0.36,5.19
Slovenia,SVN,2005,0,0.11,0,0,3.46,5.88,0.05,0.34,5.27,0,0.11,0,0,3.46,5.88,0.05,0.34,5.27
Slovenia,SVN,2006,0,0.11,0,0,3.59,5.55,0.06,0.37,5.43,0,0.11,0,0,3.59,5.55,0.06,0.37,5.43
Slovenia,SVN,2007,0,0.11,0,0,3.27,5.7,0.03,0.45,5.48,0,0.11,0,0,3.27,5.7,0.03,0.45,5.48
Slovenia,SVN,2008,0,0.29,0,0,4.02,6.27,0.02,0.48,5.33,0,0.29,0,0,4.02,6.27,0.02,0.48,5.33
Slovenia,SVN,2009,0,0.19,0,0,4.71,5.74,0.03,0.59,5.13,0,0.19,0,0,4.71,5.74,0.03,0.59,5.13
Slovenia,SVN,2010,0,0.22,0.01,0,4.52,5.66,0.01,0.55,5.29,0,0.22,0.01,0,4.52,5.66,0.01,0.55,5.29
Slovenia,SVN,2011,0,0.25,0.07,0,3.56,6.22,0.02,0.49,5.31,0,0.25,0.07,0,3.56,6.22,0.02,0.49,5.31
Slovenia,SVN,2012,0,0.27,0.16,0,3.9,5.53,0.02,0.53,5.14,0,0.27,0.16,0,3.9,5.53,0.02,0.53,5.14
Slovenia,SVN,2013,0,0.26,0.22,0,4.63,5.3,0.01,0.51,4.87,0,0.26,0.22,0,4.63,5.3,0.01,0.51,4.87
Slovenia,SVN,2014,0,0.25,0.26,0,6.09,6.37,0.05,0.37,3.76,0,0.25,0.26,0,6.09,6.37,0.05,0.37,3.76
Slovenia,SVN,2015,0,0.26,0.27,0.01,3.81,5.65,0.02,0.4,4.38,0,0.26,0.27,0.01,3.81,5.65,0.02,0.4,4.38
Slovenia,SVN,2016,0,0.28,0.27,0.01,4.5,5.72,0.02,0.42,5.01,0,0.28,0.27,0.01,4.5,5.72,0.02,0.42,5.01
Slovenia,SVN,2017,0,0.28,0.28,0.01,3.87,6.29,0.02,0.48,4.82,0,0.28,0.28,0.01,3.87,6.29,0.02,0.48,4.82
Slovenia,SVN,2018,0,0.26,0.25,0.01,4.7,5.78,0.02,0.48,4.62,0,0.26,0.25,0.01,4.7,5.78,0.02,0.48,4.62
Slovenia,SVN,2019,0,0.25,0.3,0.01,4.48,5.82,0.01,0.54,4.48,0,0.25,0.3,0.01,4.48,5.82,0.01,0.54,4.48
Slovenia,SVN,2020,0,0.27,0.37,0.01,4.93,6.35,0.02,0.58,4.36,0,0.27,0.37,0.01,4.93,6.35,0.02,0.58,4.36
Slovenia,SVN,2021,0,0.27,0.45,0.01,4.71,5.71,0.07,0.52,3.85,0,0.27,0.45,0.01,4.71,5.71,0.07,0.52,3.85
Slovenia,SVN,2022,0,0.26,0.65,0.01,3.15,5.61,0.06,0.49,3.13,0,0.26,0.65,0.01,3.15,5.61,0.06,0.49,3.13
Slovenia,SVN,2023,0,0.29,0.98,0.01,5.02,5.6,0.01,0.5,3.14,0,0.29,0.98,0.01,5.02,5.6,0.01,0.5,3.14
Slovenia,SVN,2024,0,0.35,1.48,0.01,5.3,5.81,0,0.6,3.45,0,0.35,1.48,0.01,5.3,5.81,0,0.6,3.45
Spain,ESP,1985,0,0,0,0,31.287,28.044,7.747,2.514,54.605,0,0,0,0,31.287,28.044,7.747,2.514,54.605
Spain,ESP,1986,0,0,0,0,26.494,37.458,6.187,2.118,54.808,0,0,0,0,26.494,37.458,6.187,2.118,54.808
Spain,ESP,1987,0,0,0,0,27.383,41.271,6.436,1.496,54.724,0,0,0,0,27.383,41.271,6.436,1.496,54.724
Spain,ESP,1988,0,0,0,0,35.246,50.466,6.937,1.365,43.071,0,0,0,0,35.246,50.466,6.937,1.365,43.071
Spain,ESP,1989,0,0,0.006060606,0.013,19.349,56.126,9.138,1.398,59.622,0,0,0.006060606,0.013,19.349,56.126,9.138,1.398,59.622
Spain,ESP,1990,0,0.54,0.01,0.01,25.47,54.27,9.61,1.51,59.74,0,0.54,0.01,0.01,25.47,54.27,9.61,1.51,59.74
Spain,ESP,1991,0,0.54,0.01,0.01,27.25,55.58,11.16,1.36,58.8,0,0.54,0.01,0.01,27.25,55.58,11.16,1.36,58.8
Spain,ESP,1992,0,0.57,0.01,0.1,18.92,55.78,15.34,1.71,64.22,0,0.57,0.01,0.1,18.92,55.78,15.34,1.71,64.22
Spain,ESP,1993,0,0.58,0.01,0.12,24.42,56.06,10.31,1.2,62.42,0,0.58,0.01,0.12,24.42,56.06,10.31,1.2,62.42
Spain,ESP,1994,0,0.64,0.01,0.17,28.24,55.31,11.01,3.24,61.57,0,0.64,0.01,0.17,28.24,55.31,11.01,3.24,61.57
Spain,ESP,1995,0,1.01,0.02,0.27,23.08,55.46,15.57,3.75,65.91,0,1.01,0.02,0.27,23.08,55.46,15.57,3.75,65.91
Spain,ESP,1996,0,1.08,0.02,0.36,39.79,56.33,14.9,6.79,53.94,0,1.08,0.02,0.36,39.79,56.33,14.9,6.79,53.94
Spain,ESP,1997,0,1.46,0.02,0.74,34.75,55.3,16.02,18.17,62.67,0,1.46,0.02,0.74,34.75,55.3,16.02,18.17,62.67
Spain,ESP,1998,0,1.53,0.02,1.35,33.99,58.99,19.72,16.21,61.58,0,1.53,0.02,1.35,33.99,58.99,19.72,16.21,61.58
Spain,ESP,1999,0,1.62,0.03,2.74,22.82,58.85,26.9,19.06,73.61,0,1.62,0.03,2.74,22.82,58.85,26.9,19.06,73.61
Spain,ESP,2000,0,1.49,0.01,4.73,28.26,62.21,24.95,20.18,79.09,0,1.49,0.01,4.73,28.26,62.21,24.95,20.18,79.09
Spain,ESP,2001,0,1.63,0.02,6.76,40.89,63.71,26.43,23.36,70.27,0,1.63,0.02,6.76,40.89,63.71,26.43,23.36,70.27
Spain,ESP,2002,0,2.59,0.02,9.34,21.22,63.02,30.15,32.39,81.18,0,2.59,0.02,9.34,21.22,63.02,30.15,32.39,81.18
Spain,ESP,2003,0,3.18,0.02,12.07,40.48,61.88,25.57,39.37,74.73,0,3.18,0.02,12.07,40.48,61.88,25.57,39.37,74.73
Spain,ESP,2004,0,3.33,0.02,15.7,31.08,63.61,28.31,55.46,79.1,0,3.33,0.02,15.7,31.08,63.61,28.31,55.46,79.1
Spain,ESP,2005,0,2.65,0.05,21.18,18.39,57.54,31.58,79.01,79.06,0,2.65,0.05,21.18,18.39,57.54,31.58,79.01,79.06
Spain,ESP,2006,0,2.77,0.12,23.3,25.96,60.13,26,90.57,66.74,0,2.77,0.12,23.3,25.96,60.13,26,90.57,66.74
Spain,ESP,2007,0,2.9,0.52,27.57,27.31,55.1,20.86,94.8,72.8,0,2.9,0.52,27.57,27.31,55.1,20.86,94.8,72.8
Spain,ESP,2008,0,3.26,2.58,32.95,23.36,58.97,19.16,120.8,48.71,0,3.26,2.58,32.95,23.36,58.97,19.16,120.8,48.71
Spain,ESP,2009,0,3.49,6.06,38.12,26.41,52.76,20.22,107.75,35.91,0,3.49,6.06,38.12,26.41,52.76,20.22,107.75,35.91
Spain,ESP,2010,0,4.01,7.19,44.27,42.3,61.99,17.86,94.85,25.33,0,4.01,7.19,44.27,42.3,61.99,17.86,94.85,25.33
Spain,ESP,2011,0,4.61,9.4,42.92,30.6,57.72,16.8,85.51,43.98,0,4.61,9.4,42.92,30.6,57.72,16.8,85.51,43.98
Spain,ESP,2012,0,4.98,11.97,49.47,20.55,61.47,17.13,73.31,55.07,0,4.98,11.97,49.47,20.55,61.47,17.13,73.31,55.07
Spain,ESP,2013,0,5.8,13.1,55.64,36.87,56.73,15.84,57.54,39.94,0,5.8,13.1,55.64,36.87,56.73,15.84,57.54,39.94
Spain,ESP,2014,0,5.41,13.67,52.01,39.17,57.31,15.79,47.27,43.81,0,5.41,13.67,52.01,39.17,57.31,15.79,47.27,43.81
